NH3_ug_m3,temperature_C,humidity_%,SO2_ug_m3
11.111,9.92,53.58,7.146
11.171,9.33,52.89,9.557
7.998,10.77,55.92,4.981
9.24,12.62,54.64,5.153
10.211,11.55,60.69,6.572
8.202,12.75,47.86,5.589
8.578,16.22,51.9,7.119
9.712,16.54,47.78,8.074
10.506,16.26,50.84,5.661
10.513,18.51,60.82,10.434
10.874,18.1,51.2,9.009
8.974,18.6,60.02,6.53
8.233,19.62,61.31,6.343
11.206,16.86,61.72,6.919
10.747,16.59,65.82,7.821
11.35,17.19,60.76,11.464
10.963,15.61,73.3,8.69
9.956,16.0,75.17,5.674
12.117,13.24,67.93,6.991
9.244,11.34,77.16,4.322
14.654,13.59,65.07,6.212
11.7,10.52,67.0,6.689
10.407,10.08,69.47,3.901
9.443,7.79,59.98,3.769
10.859,8.71,53.96,6.13
8.107,9.66,50.97,5.782
10.061,8.65,63.73,6.567
12.576,11.28,51.71,8.677
8.162,11.14,51.81,5.994
9.701,12.72,47.31,4.492
9.681,13.64,55.28,8.715
11.017,17.88,48.63,10.568
12.293,16.84,50.59,9.983
10.235,16.63,55.03,9.767
10.323,19.68,51.23,7.579
10.954,17.73,56.7,5.957
11.713,19.61,65.09,10.549
10.525,16.84,63.27,5.282
11.272,17.1,64.01,6.833
12.993,18.13,66.0,7.838
10.63,17.75,64.86,7.159
13.73,15.86,75.2,6.047
14.548,14.22,64.24,7.721
10.779,12.71,68.06,4.125
11.848,10.09,66.87,5.499
11.457,9.96,69.18,5.431
12.269,9.48,67.9,7.416
11.413,10.8,61.43,4.885
9.914,9.81,60.39,6.849
8.643,7.45,58.47,6.075
9.918,10.46,46.14,8.193
9.648,10.4,47.21,9.774
7.05,11.08,49.88,4.992
11.859,13.84,49.25,6.759
9.945,15.63,46.43,3.69
13.609,16.81,54.5,5.526
7.649,15.89,52.31,9.271
11.395,17.56,52.71,8.62
11.723,19.12,50.2,11.48
8.781,20.4,56.98,10.214
12.141,18.82,48.72,7.534
10.809,19.0,60.64,6.629
12.785,17.4,63.48,9.7
10.559,16.5,65.85,8.854
10.494,17.87,59.9,6.626
11.675,17.32,67.85,4.145
13.23,14.31,63.06,7.919
11.904,14.31,63.7,5.774
12.473,12.33,69.03,6.033
12.073,10.09,72.94,6.59
13.343,10.5,63.43,5.051
10.541,11.41,58.03,3.923
9.709,9.39,59.72,6.31
9.646,11.48,60.65,7.395
8.374,6.96,57.45,6.193
10.26,11.89,64.28,5.231
10.283,12.04,49.18,4.646
8.404,12.78,52.25,7.397
11.258,14.54,57.16,5.234
11.794,13.34,57.19,10.992
9.998,16.67,44.24,8.955
10.699,18.4,53.3,8.609
9.329,20.54,60.91,7.044
8.939,18.64,68.46,6.959
10.952,18.46,61.78,10.288
11.713,18.66,59.57,9.132
11.719,19.86,58.93,11.516
12.68,18.36,73.5,8.92
11.849,16.3,68.81,9.678
12.085,16.34,63.3,6.374
12.412,14.55,66.16,6.328
14.666,14.3,67.94,8.192
10.424,11.09,68.07,7.655
13.01,10.51,61.03,5.725
11.33,9.63,60.51,5.003
10.042,7.85,54.43,7.845
10.496,9.83,62.87,8.844
10.185,9.96,55.27,3.226
7.371,10.15,56.58,7.776
9.078,10.66,58.74,7.229
12.234,10.28,52.66,6.361
9.371,12.68,50.53,7.928
11.653,14.06,51.49,6.891
10.666,14.81,51.24,8.067
9.715,16.78,56.77,10.796
9.259,18.49,54.3,9.86
7.301,21.07,52.53,10.794
15.02,19.51,60.83,8.987
10.255,19.78,63.63,10.277
12.617,19.21,55.43,8.126
10.436,16.5,68.84,7.584
9.115,17.98,65.83,8.915
15.301,17.05,66.77,9.386
11.447,18.72,70.47,5.674
14.164,14.24,64.44,6.475
12.935,13.54,70.26,6.991
11.482,11.93,64.13,5.399
9.16,9.54,58.47,5.255
10.276,11.52,58.72,5.572
7.809,10.55,63.05,7.6
8.888,10.46,54.67,7.135
11.226,8.59,62.82,8.221
8.566,11.87,59.21,7.29
8.486,9.3,58.13,7.269
9.455,12.72,52.03,8.323
9.5,15.85,51.76,7.305
10.1,13.33,45.68,6.129
9.576,15.13,54.71,10.942
9.162,17.13,53.05,10.405
8.783,17.45,55.07,8.674
11.126,16.98,61.21,8.157
8.756,19.43,53.96,10.394
11.765,18.24,57.95,8.441
9.556,19.91,61.83,7.128
13.211,17.74,58.71,8.205
8.454,19.91,63.36,6.837
11.907,16.08,67.35,8.268
12.227,15.42,64.88,4.95
12.185,15.49,71.69,5.175
10.082,11.74,60.14,4.102
10.912,12.29,69.87,5.2
11.376,12.55,66.76,5.769
10.122,8.26,60.18,5.063
9.515,9.91,56.83,6.039
9.544,9.87,49.88,4.437
9.434,10.67,52.95,4.524
12.199,8.74,58.39,6.573
10.882,9.44,52.32,7.835
10.356,12.68,55.92,8.892
6.152,13.62,47.99,6.563
9.897,14.86,53.03,7.839
9.258,16.27,47.6,9.245
9.989,16.24,47.41,7.848
12.762,18.37,52.11,8.794
6.677,19.24,51.54,8.18
9.209,18.53,49.96,4.137
10.641,21.8,57.47,7.764
8.73,19.96,60.69,6.479
10.889,17.46,67.27,7.7
9.398,18.88,67.6,7.944
9.099,15.89,70.01,4.151
11.799,16.8,68.81,7.665
9.507,15.95,67.53,6.225
10.86,12.28,61.01,6.163
12.017,13.21,65.73,6.439
13.944,11.52,66.24,5.86
9.598,11.21,68.03,4.81
11.295,12.0,63.01,3.475
11.559,9.31,62.9,5.238
9.433,8.87,51.74,7.876
7.71,9.2,52.64,5.019
9.675,10.09,54.0,6.939
10.586,12.01,55.66,5.32
8.935,13.72,49.63,6.201
9.001,14.93,49.61,7.172
6.547,16.89,52.96,5.47
10.46,17.12,46.51,8.118
11.022,19.88,58.71,7.909
8.171,18.61,50.43,9.16
8.747,22.7,48.2,8.934
8.506,20.35,57.98,7.831
9.161,18.4,66.81,5.948
11.375,17.65,64.29,10.644
9.391,18.72,66.6,5.315
11.295,16.83,65.04,6.79
8.89,16.75,65.06,6.629
8.928,15.17,59.76,4.392
11.086,13.22,56.63,6.633
