datetime,temperature_C,humidity_%,wind_speed_m_s,wind_dir_deg,pressure_hPa,precip_mm,industrial_index,traffic_index,hour,dayofweek,is_weekend,SO2_ug_m3,NH3_ug_m3,SO2_3h,NH3_3h,SO2_alert_3h,NH3_alert_3h,SO2_lag1,SO2_lag2,NH3_lag1,NH3_lag2
2023-01-01 00:00:00,9.92,53.58,3.75,178.1,1009.5,0.0,1.067,0.646,0,6,1,7.146,11.111,5.535242051958091,8.470086223577539,0,0,7.146,7.146,11.111,11.111
2023-01-01 01:00:00,9.33,52.89,1.4,208.7,1008.2,0.0,1.241,0.465,1,6,1,9.557,11.171,6.121125434837418,10.539244452673664,0,0,7.146,7.146,11.111,11.111
2023-01-01 02:00:00,10.77,55.92,1.9,138.2,1015.6,0.0,0.996,0.423,2,6,1,4.981,7.998,7.145017464539924,8.074314995937398,0,0,9.557,7.146,11.171,11.111
2023-01-01 03:00:00,12.62,54.64,3.58,306.0,1020.4,0.0,1.146,0.706,3,6,1,5.153,9.24,6.598651033763334,7.215294244293373,0,0,4.981,9.557,7.998,11.171
2023-01-01 04:00:00,11.55,60.69,1.2,253.5,1011.6,0.0,1.075,0.476,4,6,1,6.572,10.211,6.86503910228447,8.61767681396029,0,0,5.153,4.981,9.24,7.998
2023-01-01 05:00:00,12.75,47.86,3.71,183.9,1015.4,0.0,1.113,0.584,5,6,1,5.589,8.202,5.6482661857367695,9.882859372284244,0,0,6.572,5.153,10.211,9.24
2023-01-01 06:00:00,16.22,51.9,3.35,176.3,1015.0,4.28,0.987,0.507,6,6,1,7.119,8.578,12.463829396994589,10.753555301375998,0,0,5.589,6.572,8.202,10.211
2023-01-01 07:00:00,16.54,47.78,3.64,222.8,1013.8,0.0,0.985,0.908,7,6,1,8.074,9.712,8.366029007405126,11.918994544618078,0,0,7.119,5.589,8.578,8.202
2023-01-01 08:00:00,16.26,50.84,2.43,177.3,1010.3,0.0,1.051,0.948,8,6,1,5.661,10.506,7.155688281739735,9.513978362611505,0,0,8.074,7.119,9.712,8.578
2023-01-01 09:00:00,18.51,60.82,3.41,71.4,1009.0,0.0,1.071,0.929,9,6,1,10.434,10.513,6.309211741670414,8.914149081722043,0,0,5.661,8.074,10.506,9.712
2023-01-01 10:00:00,18.1,51.2,1.73,272.7,1009.9,0.0,0.987,0.714,10,6,1,9.009,10.874,4.916402419835336,10.786299577875866,0,0,10.434,5.661,10.513,10.506
2023-01-01 11:00:00,18.6,60.02,2.49,250.8,1012.4,0.0,1.032,0.659,11,6,1,6.53,8.974,6.678217203620512,9.752439570369374,0,0,9.009,10.434,10.874,10.513
2023-01-01 12:00:00,19.62,61.31,2.94,203.0,1011.4,0.0,1.1,0.6,12,6,1,6.343,8.233,12.130942187967117,11.098399041548223,0,0,6.53,9.009,8.974,10.874
2023-01-01 13:00:00,16.86,61.72,2.0,155.5,1008.5,0.0,1.023,0.566,13,6,1,6.919,11.206,8.389654788508285,11.260696434404844,0,0,6.343,6.53,8.233,8.974
2023-01-01 14:00:00,16.59,65.82,3.12,181.3,1012.3,0.0,1.204,0.612,14,6,1,7.821,10.747,4.804691411741555,9.79681306294497,0,0,6.919,6.343,11.206,8.233
2023-01-01 15:00:00,17.19,60.76,1.76,22.1,1010.6,0.82,1.027,0.645,15,6,1,11.464,11.35,6.2694267418341125,11.770872088457773,0,0,7.821,6.919,10.747,11.206
2023-01-01 16:00:00,15.61,73.3,3.17,114.2,1015.3,0.0,1.068,0.448,16,6,1,8.69,10.963,4.779734914548995,9.266832102113197,0,0,11.464,7.821,11.35,10.747
2023-01-01 17:00:00,16.0,75.17,4.64,286.7,1011.5,0.0,1.054,1.014,17,6,1,5.674,9.956,6.956208696503121,14.62785248418365,0,0,8.69,11.464,10.963,11.35
2023-01-01 18:00:00,13.24,67.93,1.65,211.7,1016.5,0.0,0.974,1.024,18,6,1,6.991,12.117,7.687838088412242,10.620999802553788,0,0,5.674,8.69,9.956,10.963
2023-01-01 19:00:00,11.34,77.16,2.88,63.8,1014.0,0.0,1.071,0.971,19,6,1,4.322,9.244,3.620085421500397,10.671606303806284,0,0,6.991,5.674,12.117,9.956
2023-01-01 20:00:00,13.59,65.07,1.28,131.0,1011.1,0.0,1.007,0.46,20,6,1,6.212,14.654,3.077824953880718,8.84145210024302,0,0,4.322,6.991,9.244,12.117
2023-01-01 21:00:00,10.52,67.0,2.07,65.2,1012.4,0.0,1.167,0.504,21,6,1,6.689,11.7,6.663513111377662,10.356531278728443,0,0,6.212,4.322,14.654,9.244
2023-01-01 22:00:00,10.08,69.47,3.6,133.9,1012.6,0.98,1.083,0.673,22,6,1,3.901,10.407,6.884691222110846,9.025262814695349,0,0,6.689,6.212,11.7,14.654
2023-01-01 23:00:00,7.79,59.98,2.47,170.8,1013.8,1.26,1.062,0.607,23,6,1,3.769,9.443,7.347387958812883,9.755167902791307,0,0,3.901,6.689,10.407,11.7
2023-01-02 00:00:00,8.71,53.96,3.67,277.5,1014.7,0.0,1.149,0.801,0,0,0,6.13,10.859,8.90168105551112,12.964522610838273,0,0,3.769,3.901,9.443,10.407
2023-01-02 01:00:00,9.66,50.97,3.28,228.5,1011.4,0.0,1.264,0.713,1,0,0,5.782,8.107,6.167167866570338,7.749260552086801,0,0,6.13,3.769,10.859,9.443
2023-01-02 02:00:00,8.65,63.73,2.86,163.2,1012.3,0.0,1.182,0.888,2,0,0,6.567,10.061,4.389983209945496,10.103233263900457,0,0,5.782,6.13,8.107,10.859
2023-01-02 03:00:00,11.28,51.71,1.89,166.2,1013.7,0.0,1.09,0.748,3,0,0,8.677,12.576,8.56292046609838,10.354511511005768,0,0,6.567,5.782,10.061,8.107
2023-01-02 04:00:00,11.14,51.81,3.61,133.3,1001.4,0.0,1.241,0.673,4,0,0,5.994,8.162,11.551816549693596,11.999485482282402,0,0,8.677,6.567,12.576,10.061
2023-01-02 05:00:00,12.72,47.31,3.23,246.8,1015.4,0.0,1.235,0.809,5,0,0,4.492,9.701,10.687764088415772,13.06816255597295,0,0,5.994,8.677,8.162,12.576
2023-01-02 06:00:00,13.64,55.28,1.39,253.9,1009.4,2.17,1.104,0.649,6,0,0,8.715,9.681,9.569626721188842,9.998321163526349,0,0,4.492,5.994,9.701,8.162
2023-01-02 07:00:00,17.88,48.63,1.96,101.1,1012.1,0.0,1.15,1.199,7,0,0,10.568,11.017,8.80015740555818,11.159446091263135,0,0,8.715,4.492,9.681,9.701
2023-01-02 08:00:00,16.84,50.59,0.15,78.1,1010.5,0.0,1.346,1.249,8,0,0,9.983,12.293,5.173340734457334,11.053246563145864,0,0,10.568,8.715,11.017,9.681
2023-01-02 09:00:00,16.63,55.03,1.56,162.3,1016.2,0.0,1.201,1.0,9,0,0,9.767,10.235,10.531153012371702,11.419889376618338,0,0,9.983,10.568,12.293,11.017
2023-01-02 10:00:00,19.68,51.23,2.61,169.6,1017.3,0.11,1.478,0.878,10,0,0,7.579,10.323,5.204668085517306,9.768129827327456,0,0,9.767,9.983,10.235,12.293
2023-01-02 11:00:00,17.73,56.7,1.87,196.9,1012.8,0.29,1.283,0.581,11,0,0,5.957,10.954,6.77828252910575,12.367064517209023,0,0,7.579,9.767,10.323,10.235
2023-01-02 12:00:00,19.61,65.09,2.09,80.9,1012.8,0.0,1.377,0.861,12,0,0,10.549,11.713,8.126908192960897,13.10214214641209,0,0,5.957,7.579,10.954,10.323
2023-01-02 13:00:00,16.84,63.27,4.31,138.4,1013.1,0.0,1.118,0.797,13,0,0,5.282,10.525,7.052993950613991,10.675047983059864,0,0,10.549,5.957,11.713,10.954
2023-01-02 14:00:00,17.1,64.01,3.95,176.4,1013.1,0.0,1.373,0.851,14,0,0,6.833,11.272,6.240863081004259,14.714296801103336,0,0,5.282,10.549,10.525,11.713
2023-01-02 15:00:00,18.13,66.0,2.23,134.6,1017.2,0.0,1.078,0.674,15,0,0,7.838,12.993,6.607373100503524,15.078433638894099,0,0,6.833,5.282,11.272,10.525
2023-01-02 16:00:00,17.75,64.86,3.72,232.8,1025.2,0.0,1.162,0.605,16,0,0,7.159,10.63,4.115686198103668,10.46727762793386,0,0,7.838,6.833,12.993,11.272
2023-01-02 17:00:00,15.86,75.2,4.14,293.5,1012.5,0.0,1.119,1.244,17,0,0,6.047,13.73,5.4683539277558255,12.127832444875823,0,0,7.159,7.838,10.63,12.993
2023-01-02 18:00:00,14.22,64.24,3.54,149.1,1015.5,0.0,1.181,1.028,18,0,0,7.721,14.548,5.3748297854448515,12.642478377311974,0,0,6.047,7.159,13.73,10.63
2023-01-02 19:00:00,12.71,68.06,3.22,234.7,1009.8,0.0,1.226,1.211,19,0,0,4.125,10.779,8.616839237586712,11.73909635110263,0,0,7.721,6.047,14.548,13.73
2023-01-02 20:00:00,10.09,66.87,4.02,159.9,1010.2,0.0,1.169,0.908,20,0,0,5.499,11.848,4.306241832414173,12.47557670018131,0,0,4.125,7.721,10.779,14.548
2023-01-02 21:00:00,9.96,69.18,3.69,125.6,1009.1,0.0,1.201,0.766,21,0,0,5.431,11.457,6.561395701205104,8.306073507269895,0,0,5.499,4.125,11.848,10.779
2023-01-02 22:00:00,9.48,67.9,1.71,138.6,1018.6,0.0,1.154,0.775,22,0,0,7.416,12.269,5.99112109876915,9.235025380791575,0,0,5.431,5.499,11.457,11.848
2023-01-02 23:00:00,10.8,61.43,2.73,227.5,1016.0,0.0,1.221,0.72,23,0,0,4.885,11.413,8.59297813630584,10.344641564301968,0,0,7.416,5.431,12.269,11.457
2023-01-03 00:00:00,9.81,60.39,2.39,143.6,1011.8,0.58,1.216,0.887,0,1,0,6.849,9.914,9.344624974663041,8.247433774740408,0,0,4.885,7.416,11.413,12.269
2023-01-03 01:00:00,7.45,58.47,4.1,155.3,1014.2,0.02,1.157,0.762,1,1,0,6.075,8.643,5.274769802796597,7.820672262015277,0,0,6.849,4.885,9.914,11.413
2023-01-03 02:00:00,10.46,46.14,2.36,113.4,1016.4,0.37,1.16,0.828,2,1,0,8.193,9.918,6.820618557273854,11.509665202199802,0,0,6.075,6.849,8.643,9.914
2023-01-03 03:00:00,10.4,47.21,2.19,220.1,1018.1,0.0,1.081,0.595,3,1,0,9.774,9.648,3.629726521593653,9.292316724021516,0,0,8.193,6.075,9.918,8.643
2023-01-03 04:00:00,11.08,49.88,3.97,209.6,1014.9,0.0,1.19,0.728,4,1,0,4.992,7.05,5.112604742102016,12.726601039483096,0,0,9.774,8.193,9.648,9.918
2023-01-03 05:00:00,13.84,49.25,3.2,269.4,1013.7,0.99,1.217,0.752,5,1,0,6.759,11.859,10.678890207008788,7.5763305649099095,0,0,4.992,9.774,7.05,9.648
2023-01-03 06:00:00,15.63,46.43,5.05,217.8,1018.6,0.0,1.256,0.716,6,1,0,3.69,9.945,10.422081831787336,9.915746341027024,0,0,6.759,4.992,11.859,7.05
2023-01-03 07:00:00,16.81,54.5,2.08,206.8,1008.9,0.0,1.084,1.145,7,1,0,5.526,13.609,12.793918361080735,12.877790044689235,0,0,3.69,6.759,9.945,11.859
2023-01-03 08:00:00,15.89,52.31,2.42,217.1,1005.6,0.0,1.113,1.173,8,1,0,9.271,7.649,8.866664270528478,8.240143148560305,0,0,5.526,3.69,13.609,9.945
2023-01-03 09:00:00,17.56,52.71,4.07,166.7,1018.3,0.0,1.225,1.181,9,1,0,8.62,11.395,7.785393916078126,13.046508302754809,0,0,9.271,5.526,7.649,13.609
2023-01-03 10:00:00,19.12,50.2,1.66,188.7,1011.5,0.0,1.225,0.677,10,1,0,11.48,11.723,6.194819575768674,10.52021458287505,0,0,8.62,9.271,11.395,7.649
2023-01-03 11:00:00,20.4,56.98,4.26,237.9,1018.7,0.0,1.246,0.869,11,1,0,10.214,8.781,10.65371172363438,12.69515889931785,0,0,11.48,8.62,11.723,11.395
2023-01-03 12:00:00,18.82,48.72,1.74,132.9,1021.0,0.0,1.375,0.724,12,1,0,7.534,12.141,10.122833118265252,10.27968560018931,0,0,10.214,11.48,8.781,11.723
2023-01-03 13:00:00,19.0,60.64,3.55,284.2,1020.7,0.22,1.083,1.023,13,1,0,6.629,10.809,6.768207865232879,9.3991789874118,0,0,7.534,10.214,12.141,8.781
2023-01-03 14:00:00,17.4,63.48,1.1,220.3,1001.3,0.0,1.122,0.972,14,1,0,9.7,12.785,4.254753204773046,10.707871798937424,0,0,6.629,7.534,10.809,12.141
2023-01-03 15:00:00,16.5,65.85,2.99,303.3,1016.5,0.0,1.195,0.794,15,1,0,8.854,10.559,6.856122674059056,13.93508715938456,0,0,9.7,6.629,12.785,10.809
2023-01-03 16:00:00,17.87,59.9,1.57,111.5,1011.3,1.31,1.186,0.757,16,1,0,6.626,10.494,4.51596270896696,10.540797907956518,0,0,8.854,9.7,10.559,12.785
2023-01-03 17:00:00,17.32,67.85,4.87,111.5,1010.7,0.0,1.209,1.211,17,1,0,4.145,11.675,6.56933415728131,12.76094347743861,0,0,6.626,8.854,10.494,10.559
2023-01-03 18:00:00,14.31,63.06,1.87,204.4,1014.8,0.0,1.309,1.148,18,1,0,7.919,13.23,6.63320707540285,12.840155080599033,0,0,4.145,6.626,11.675,10.494
2023-01-03 19:00:00,14.31,63.7,2.11,189.5,1010.8,0.0,1.361,1.166,19,1,0,5.774,11.904,5.043292989768176,15.423825327299674,0,0,7.919,4.145,13.23,11.675
2023-01-03 20:00:00,12.33,69.03,3.48,154.6,1016.3,0.0,1.118,0.877,20,1,0,6.033,12.473,4.4569375863071805,9.981344151936932,0,0,5.774,7.919,11.904,13.23
2023-01-03 21:00:00,10.09,72.94,2.34,105.9,1018.6,0.0,1.237,0.679,21,1,0,6.59,12.073,6.85440343418522,10.553187231316063,0,0,6.033,5.774,12.473,11.904
2023-01-03 22:00:00,10.5,63.43,3.64,166.0,1012.5,0.0,1.298,0.742,22,1,0,5.051,13.343,6.627627190925706,9.072743324831603,0,0,6.59,6.033,12.073,12.473
2023-01-03 23:00:00,11.41,58.03,2.23,195.1,1014.7,0.95,1.131,0.814,23,1,0,3.923,10.541,5.848232026994435,8.316348737815888,0,0,5.051,6.59,13.343,12.073
2023-01-04 00:00:00,9.39,59.72,2.18,104.2,1011.6,0.0,1.201,0.708,0,2,0,6.31,9.709,5.918410985330542,11.08709242142436,0,0,3.923,5.051,10.541,13.343
2023-01-04 01:00:00,11.48,60.65,2.94,158.1,1015.3,0.0,1.155,0.788,1,2,0,7.395,9.646,3.1328073552914093,10.301743241723019,0,0,6.31,3.923,9.709,10.541
2023-01-04 02:00:00,6.96,57.45,1.75,205.7,1019.1,0.0,1.056,0.725,2,2,0,6.193,8.374,7.735039314178849,8.980525862591275,0,0,7.395,6.31,9.646,9.709
2023-01-04 03:00:00,11.89,64.28,3.36,230.0,1015.1,0.0,1.122,0.854,3,2,0,5.231,10.26,5.712732475567705,11.698092413288194,0,0,6.193,7.395,8.374,9.646
2023-01-04 04:00:00,12.04,49.18,3.84,165.6,1012.9,0.0,1.168,0.743,4,2,0,4.646,10.283,10.717766664830261,12.415669842110466,0,0,5.231,6.193,10.26,8.374
2023-01-04 05:00:00,12.78,52.25,3.52,134.7,1018.7,0.86,1.296,0.851,5,2,0,7.397,8.404,8.049066340873853,9.558268228903628,0,0,4.646,5.231,10.283,10.26
2023-01-04 06:00:00,14.54,57.16,3.61,189.7,1011.8,0.0,1.209,0.693,6,2,0,5.234,11.258,8.866656021529156,11.090922738726105,0,0,7.397,4.646,8.404,10.283
2023-01-04 07:00:00,13.34,57.19,1.04,170.3,1011.9,0.0,1.208,1.1,7,2,0,10.992,11.794,8.296464137383678,9.587013006189807,0,0,5.234,7.397,11.258,8.404
2023-01-04 08:00:00,16.67,44.24,2.5,94.8,1010.8,0.0,1.173,1.334,8,2,0,8.955,9.998,6.394785067234339,9.612220514059699,0,0,10.992,5.234,11.794,11.258
2023-01-04 09:00:00,18.4,53.3,2.74,155.7,1007.1,1.21,1.201,1.021,9,2,0,8.609,10.699,10.677647248243373,10.853561138299401,0,0,8.955,10.992,9.998,11.794
2023-01-04 10:00:00,20.54,60.91,4.42,147.4,1010.0,0.0,1.207,0.723,10,2,0,7.044,9.329,7.096475963127972,11.946022293506383,0,0,8.609,8.955,10.699,9.998
2023-01-04 11:00:00,18.64,68.46,2.38,184.1,1013.6,0.0,1.041,0.759,11,2,0,6.959,8.939,12.870934372260233,12.445742508971508,0,0,7.044,8.609,9.329,10.699
2023-01-04 12:00:00,18.46,61.78,0.66,138.7,1014.3,0.0,1.232,0.584,12,2,0,10.288,10.952,7.482459453596701,13.063569825349072,0,0,6.959,7.044,8.939,9.329
2023-01-04 13:00:00,18.66,59.57,1.96,149.8,1009.5,0.0,1.179,0.751,13,2,0,9.132,11.713,11.504677590813484,12.87284840969656,0,0,10.288,6.959,10.952,8.939
2023-01-04 14:00:00,19.86,58.93,2.3,171.8,1011.4,0.0,1.278,0.573,14,2,0,11.516,11.719,5.7313889851154896,11.103025415567732,0,0,9.132,10.288,11.713,10.952
2023-01-04 15:00:00,18.36,73.5,0.81,221.1,1005.8,0.0,1.108,0.795,15,2,0,8.92,12.68,4.791569326906646,13.333965342337455,0,0,11.516,9.132,11.719,11.713
2023-01-04 16:00:00,16.3,68.81,3.93,188.3,1022.2,0.0,1.315,0.788,16,2,0,9.678,11.849,8.567270798695871,13.760640107491545,0,0,8.92,11.516,12.68,11.719
2023-01-04 17:00:00,16.34,63.3,1.39,342.6,1019.3,0.0,1.114,0.945,17,2,0,6.374,12.085,8.578795857667918,9.718846453149494,0,0,9.678,8.92,11.849,12.68
2023-01-04 18:00:00,14.55,66.16,3.41,106.9,1010.5,0.0,1.274,1.151,18,2,0,6.328,12.412,4.974130335595734,12.211776317412053,0,0,6.374,9.678,12.085,11.849
2023-01-04 19:00:00,14.3,67.94,1.87,237.5,1014.0,0.31,1.144,1.149,19,2,0,8.192,14.666,4.375395528983561,10.924880909740969,0,0,6.328,6.374,12.412,12.085
2023-01-04 20:00:00,11.09,68.07,4.47,178.1,1009.9,1.46,1.232,0.735,20,2,0,7.655,10.424,6.76434616308714,9.227331041668224,0,0,8.192,6.328,14.666,12.412
2023-01-04 21:00:00,10.51,61.03,2.69,99.1,1017.5,0.0,1.287,0.687,21,2,0,5.725,13.01,8.76843200570656,9.593147347900759,0,0,7.655,8.192,10.424,14.666
2023-01-04 22:00:00,9.63,60.51,2.48,160.0,1016.0,0.0,1.224,0.83,22,2,0,5.003,11.33,3.4396580444192097,10.407280047269644,0,0,5.725,7.655,13.01,10.424
2023-01-04 23:00:00,7.85,54.43,3.49,91.9,1008.2,0.0,1.161,0.66,23,2,0,7.845,10.042,9.178385561886971,7.567534140509206,0,0,5.003,5.725,11.33,13.01
2023-01-05 00:00:00,9.83,62.87,1.98,188.4,1009.6,0.0,1.143,0.839,0,3,0,8.844,10.496,8.351887891749218,9.334262796809577,0,0,7.845,5.003,10.042,11.33
2023-01-05 01:00:00,9.96,55.27,3.56,165.1,1013.2,0.0,1.159,0.885,1,3,0,3.226,10.185,6.697628017190103,12.607387409832358,0,0,8.844,7.845,10.496,10.042
2023-01-05 02:00:00,10.15,56.58,2.5,142.3,1019.1,0.0,1.09,0.724,2,3,0,7.776,7.371,7.774618751153399,8.394741829220656,0,0,3.226,8.844,10.185,10.496
2023-01-05 03:00:00,10.66,58.74,2.39,119.8,1012.0,0.0,1.2,0.703,3,3,0,7.229,9.078,6.06933626914544,11.992602159387312,0,0,7.776,3.226,7.371,10.185
2023-01-05 04:00:00,10.28,52.66,2.9,244.4,1018.7,0.0,1.285,0.786,4,3,0,6.361,12.234,8.93537440899802,9.849820376892705,0,0,7.229,7.776,9.078,7.371
2023-01-05 05:00:00,12.68,50.53,1.89,173.9,1014.8,0.0,1.272,0.886,5,3,0,7.928,9.371,10.824001723471808,9.282795175799084,0,0,6.361,7.229,12.234,9.078
2023-01-05 06:00:00,14.06,51.49,2.79,196.0,1010.2,0.0,1.285,0.607,6,3,0,6.891,11.653,9.112350304549237,8.706309915737169,0,0,7.928,6.361,9.371,12.234
2023-01-05 07:00:00,14.81,51.24,3.32,194.0,1011.8,0.0,1.245,1.143,7,3,0,8.067,10.666,11.358881907965602,7.388384894319266,0,0,6.891,7.928,11.653,9.371
2023-01-05 08:00:00,16.78,56.77,0.67,189.9,1016.0,0.0,1.038,1.166,8,3,0,10.796,9.715,7.65332950191163,14.965905150302875,0,0,8.067,6.891,10.666,11.653
2023-01-05 09:00:00,18.49,54.3,4.07,163.8,1016.9,0.0,1.155,1.229,9,3,0,9.86,9.259,9.759034200091344,8.992646816083283,0,0,10.796,8.067,9.715,10.666
2023-01-05 10:00:00,21.07,52.53,3.8,274.5,1017.2,0.0,1.226,0.775,10,3,0,10.794,7.301,8.425385827027842,12.203531893157095,0,0,9.86,10.796,9.259,9.715
2023-01-05 11:00:00,19.51,60.83,1.13,317.6,1014.4,0.0,1.148,0.813,11,3,0,8.987,15.02,6.949521162401733,9.819010049623595,0,0,10.794,9.86,7.301,9.259
